曲順,タイトル,アニメ/元ネタ,アーティスト,REMIX,URL,年
1,面影ワープ,花咲くいろは,nano.RIPE,×,,2011
2,Jumping!!,きんいろモザイク,Rhodanthe*,,https://www.youtube.com/watch?v=OfOriMb4bx8,2013
3,おーぷん☆きゃんぱす,ひだまりスケッチ×ハニカム,ゆの（阿澄佳奈）、宮子（水橋かおり）、ヒロ（後藤邑子）、沙英（新谷良子）、乃莉（原田ひとみ）、なずな（小見川千明）,×,,2012
4,？でわっしょい,ひだまりスケッチ×365,ゆの（阿澄佳奈）、宮子（水橋かおり）、ヒロ（後藤邑子）、沙英（新谷良子）,×,,2008
5,Won(*3*)Chu KissMe!,桜Trick,SAKURA*TRICK,×,,2014
6,I SAY YES,ゼロの使い魔 〜双月の騎士〜,ICHIKO,×,,2007
7,Cutie Panther,ラブライブ！,BiBi〜絢瀬絵里(南條愛乃)、西木野真姫(Pile)、矢澤にこ(徳井青空),×,,2013
8,Synchrogazer,戦姫絶唱シンフォギア,水樹奈々,×,,2011
9,Exterminate,戦姫絶唱シンフォギアGX,水樹奈々,×,,2015
10,裏表ラバーズ,VOCALOID,初音ミク(現実逃避P),×,,2011
11,Stone cold,セイクリッドセブン,FictionJunction,×,,2011
12,sister's noise,とある科学の超電磁砲S,fripSide,×,,2013
13,only my railgun,とある科学の超電磁砲,fripSide,×,,2009
14,LEVEL5-judgelight-,とある科学の超電磁砲,fripSide,×,,2010
15,ふわふわ時間,けいおん!,桜高軽音部,×,,2009
16,サウンドスケープ,響け！ユーフォニアム2,TRUE,×,,2016
