曲順,タイトル,アニメ/元ネタ,アーティスト,REMIX,URL,年
1,風に乗る,パリに咲くエトワール,緑黄色社会,,,2026
2,今夜はブギー・バック,J-POP,pastelcriim,○,https://soundcloud.com/pastelcriim/boogieback,1994
3,初めてガールズ！,わかば＊ガール,Ray,○,https://soundcloud.com/hugki/ophugkiss-shortedit,2015
4,トリノコシティ,初音ミク,40㍍P,○,https://soundcloud.com/morimoto-hiroct/remix-extend-ver,2010
5,いちごコンプリート,苺ましまろ,千佳（千葉紗子）・美羽（折笠富美子）・茉莉（川澄綾子）・アナ（能登麻美子）,○,https://soundcloud.com/kntkhk/kan-takahiko-remix-6,2005
6,輝夜の城で踊りたい,ラブライブ！,μ′s,○,https://soundcloud.com/shinonome_sounds_lab/kaguya-hardonkpsy,2013
7,Won(*3*)ChuKissMe!,桜Trick,SAKURA*TRICK,○,https://soundcloud.com/yuri_yuri_club/won3chu-kissme-sbjk-bootleg,2014
8,Катюша,ガールズ＆パンツァー,カチューシャ (金元寿子) & ノンナ (上坂すみれ),○,https://soundcloud.com/cr-kuroro/kuroro-edit-2,2012
9,балалайка,きらりん☆レボリューション,月島きらり,○,https://soundcloud.com/towa_hisanaga/starring-towa-power-bootleg,2006
10,めざせモスクワ,洋楽,ジンギスカン,○,https://soundcloud.com/d-day-806906367/moskau-camellias-handzup-bootleg-re-upload,1979
11,공격전이다,NK-POP,ユン・ヘヨン,○,https://soundcloud.com/thanq-e/nkpopcore,2010
12,Trancing Pulse,アイドルマスターシンデレラガールズ,Triad Primus,○,https://soundcloud.com/lu-i/demotrancing-pulse-lu-i-remixrelizeparty-imas,2015
13,君色シグナル,冴えない彼女の育てかた,春奈るな,○,https://soundcloud.com/user-585944301/aaruaika-j-core-bootleg,2015
14,Catch the Moment,劇場版 ソードアート・オンライン -オーディナル・スケール-,LiSA,○,https://soundcloud.com/user-910836918-183416631/catch-the-moment-hardcore,2017
15,Rising Hope,魔法科高校の劣等生,LiSA,○,https://soundcloud.com/lu-i/demo-rising-hope-lu-i-remix-from-a-remix-nation-11,2014
16,アスノヨゾラ哨戒班,IA,Orangestar,○,https://soundcloud.com/yuppun/yuppun-2018-update-remix,2014
17,ワールズエンド・ダンスホール,初音ミク,wowaka,○,https://soundcloud.com/cexiria/wowaka-worlds-end-dancec-hall-cexiria-bootleg,2010
18,月光,トリック 劇場版,鬼束ちひろ,○,https://soundcloud.com/yuppun/gekkou,2000
19,adrenaline!!!,エロマンガ先生,TrySail,○,https://youtu.be/D8LoCkhvIvg,2017
20,青空のラプソディ,小林さんちのメイドラゴン,fhána,○,https://soundcloud.com/yukiyanagi/fhan4-maji-yabakune-remix,2017
21,sister's noise,とある科学の超電磁砲S,fripSide,○,https://youtu.be/1EjACaV-kvA,2013
